open,high,low,close,volume,symbol
407.25,415.25,404.10999,411.70999,51019600.0,TSLA
411.10999,416.89999,409.57999,411.32001,45921400.0,TSLA
412.35999,413.72,400.51001,410.63,59678800.0,TSLA
414.31,424.059998,410.88,417.44,51434100.0,TSLA
430.29999,436.23001,414.0,417.070007,61933400.0,TSLA
427.95999,436.35001,420.029999,428.26999,57362000.0,TSLA
418.079987,427.25,417.0,425.20999,64450200.0,TSLA
409.91,421.25,407.29001,417.32001,54484300.0,TSLA
605.78998,608.64001,599.01001,604.059998,13616300.0,META
603.53003,603.96002,587.25,593.65997,21214900.0,META
612.15002,613.0,602.26001,606.70001,13247700.0,META
616.34003,622.65002,614.60999,615.67999,11726300.0,META
627.98999,636.54999,621.70001,622.65997,10348800.0,META
632.0,634.75,623.099976,627.45001,15134900.0,META
623.89001,629.16998,609.54999,613.71002,18957600.0,META
648.75,653.5,636.90002,638.17999,11617500.0,META
654.76001,659.12,648.35999,654.85999,8977200.0,META
653.56,660.29999,649.0,654.070007,9859300.0,META
634.78003,647.75,626.78003,647.39001,13489700.0,META
647.90002,649.46997,636.10999,644.85999,13159400.0,META
661.92999,670.70001,650.31,660.57001,13341400.0,META
657.96002,672.77002,657.66998,667.72998,10810100.0,META
648.28998,659.039978,638.84003,655.080017,12263800.0,META
637.15997,659.94,634.5,653.56,9816100.0,META
643.45001,649.44,638.12,648.17999,15703000.0,META
650.54999,661.0,647.5,657.01001,10637700.0,META
642.53003,653.88,642.14001,653.69,11330700.0,META
633.080017,641.10999,628.97998,639.29999,10135600.0,META
652.53998,657.70001,636.0,637.25,8605900.0,META
639.69,663.34998,638.78003,655.65997,14183500.0,META
638.57001,647.19,636.71997,644.78003,10035700.0,META
633.79999,645.0,628.15002,643.21997,14649200.0,META
639.5,642.59998,628.79999,639.28998,12674700.0,META
645.099976,651.42999,634.57001,639.77002,12336400.0,META
669.96997,676.0,645.28003,649.81,14960100.0,META
674.0,679.27002,657.099976,668.69,14323800.0,META
677.59998,680.65002,669.78998,670.71997,10455800.0,META
663.17999,683.31,658.78003,677.21997,14837500.0,META
177.25999,178.37,174.75999,175.64,182453500.0,NVDA
178.0,178.25999,171.72,172.7,241323500.0,NVDA
178.0099945,179.98,175.78999,178.56,170968500.0,NVDA
182.48,183.38,180.33,180.39999,156683100.0,NVDA
185.059998,185.39999,181.67999,181.92999,182497800.0,NVDA
182.97,188.88,181.41,183.22,217307400.0,NVDA
184.92,186.089996,179.94,180.25,160988400.0,NVDA
184.050003,184.94,181.75,183.14,155762700.0,NVDA
185.91,187.62,184.45,186.029999,145280400.0,NVDA
182.39999,186.44,182.0099945,184.77,179118500.0,NVDA
176.83,182.91,175.56,182.64999,177213600.0,NVDA
179.84,182.75999,176.82001,177.82001,189021900.0,NVDA
181.17,184.059998,177.88,183.34,198779700.0,NVDA
